iter	Passed	Remaining
0	57	57543
1	57	28883
2	58	19327
3	58	14549
4	58	11688
5	59	9778
6	59	8414
7	59	7387
8	59	6595
9	60	5955
10	60	5431
11	60	4995
12	60	4624
13	61	4306
14	61	4029
15	61	3787
16	61	3573
17	62	3382
18	62	3212
19	62	3060
20	62	2922
21	62	2796
22	63	2691
23	63	2589
24	63	2495
25	64	2406
26	64	2324
27	65	2257
28	65	2192
29	65	2126
30	66	2063
31	66	2004
32	66	1947
33	66	1894
34	66	1844
35	67	1798
36	67	1754
37	67	1716
38	68	1697
39	69	1658
40	69	1622
41	69	1586
42	69	1553
43	70	1521
44	70	1491
45	70	1462
46	70	1433
47	70	1406
48	71	1380
49	71	1355
50	71	1334
51	71	1311
52	72	1289
53	72	1267
54	72	1247
55	72	1227
56	73	1207
57	73	1189
58	73	1173
59	73	1158
60	74	1141
61	74	1125
62	74	1109
63	74	1093
64	74	1078
65	75	1064
66	75	1050
67	75	1037
68	75	1023
69	76	1010
70	76	998
71	76	987
72	76	976
73	77	965
74	77	955
75	77	945
76	78	936
77	78	927
78	78	917
79	79	909
80	79	899
81	79	890
82	79	879
83	80	873
84	80	867
85	80	858
86	81	850
87	81	841
88	81	833
89	81	825
90	81	818
91	82	810
92	82	803
93	82	796
94	82	789
95	83	782
96	83	775
97	83	768
98	83	761
99	83	755
100	84	748
101	84	742
102	84	736
103	84	730
104	84	724
105	85	718
106	85	712
107	85	707
108	85	702
109	86	697
110	86	691
111	86	686
112	86	681
113	87	676
114	87	671
115	87	667
116	87	661
117	88	658
118	88	653
119	88	649
120	88	644
121	88	639
122	89	635
123	89	631
124	89	627
125	89	623
126	90	619
127	90	615
128	90	611
129	90	607
130	91	603
131	91	599
132	91	596
133	91	592
134	91	588
135	92	585
136	92	581
137	92	578
138	92	575
139	93	571
140	93	568
141	93	564
142	93	562
143	94	559
144	94	556
145	94	554
146	95	551
147	95	548
148	95	545
149	95	543
150	96	540
151	96	538
152	96	535
153	97	533
154	97	530
155	97	528
156	97	525
157	98	522
158	98	519
159	98	516
160	98	513
161	98	511
162	98	508
163	99	505
